date,consumer_price_index
3-Jan,100.9
3-Feb,101.4
3-Mar,102.2
3-Apr,102
3-May,101.9
3-Jun,101.8
3-Jul,101.9
3-Aug,102.4
3-Sep,102.7
3-Oct,102.2
3-Nov,102.3
3-Dec,102.5
4-Jan,102.2
4-Feb,102.7
4-Mar,103
4-Apr,103.7
4-May,104.5
4-Jun,104.6
4-Jul,104.5
4-Aug,104.5
4-Sep,104.6
4-Oct,104.7
4-Nov,104.7
4-Dec,104.7
5-Jan,104.8
5-Feb,104.9
5-Mar,105.2
5-Apr,105.7
5-May,106
5-Jun,106.1
5-Jul,106.5
5-Aug,106.5
5-Sep,106.8
5-Oct,106.7
5-Nov,106.6
5-Dec,106.3
6-Jan,106.2
6-Feb,106.3
6-Mar,106.9
6-Apr,107.5
6-May,108.4
6-Jun,108.4
6-Jul,108.5
6-Aug,108.7
6-Sep,108.4
6-Oct,108.4
6-Nov,108.9
6-Dec,109.1
7-Jan,109
7-Feb,109.3
7-Mar,109.6
7-Apr,110
7-May,110.6
7-Jun,110.5
7-Jul,110.7
7-Aug,110.6
7-Sep,110.7
7-Oct,110.4
7-Nov,110.4
7-Dec,110.5
8-Jan,110.2
8-Feb,110.7
8-Mar,111.2
8-Apr,112.1
8-May,113.2
8-Jun,113.9
8-Jul,114.7
8-Aug,114.5
8-Sep,114.6
8-Oct,113.4
8-Nov,112.9
8-Dec,111.9
9-Jan,112
9-Feb,112.5
9-Mar,112.6
9-Apr,112.6
9-May,113.3
9-Jun,113.3
9-Jul,112.9
9-Aug,113.6
9-Sep,113.5
9-Oct,112.7
9-Nov,113.1
9-Dec,112.7
10-Jan,113.1
10-Feb,113.9
10-Mar,113.6
10-Apr,114.2
10-May,114.6
10-Jun,114.5
10-Jul,115.7
10-Aug,115.7
10-Sep,115.6
10-Oct,116.1
10-Nov,116
10-Dec,115.5
11-Jan,115.8
11-Feb,116
11-Mar,117
11-Apr,117.2
11-May,118
11-Jun,117.5
11-Jul,117.5
11-Aug,117.7
11-Sep,118.3
11-Oct,118.5
11-Nov,118.7
11-Dec,117.7
12-Jan,117.9
12-Feb,118.4
12-Mar,119.1
12-Apr,119.4
12-May,119.8
12-Jun,119.5
12-Jul,119.2
12-Aug,119.4
12-Sep,119.3
12-Oct,119.3
12-Nov,118.9
12-Dec,118.3
13-Jan,118.5
13-Feb,119.8
13-Mar,120
13-Apr,118.5
13-May,119.3
13-Jun,119
13-Jul,119.3
13-Aug,119.5
13-Sep,119.6
13-Oct,119.3
13-Nov,119
13-Dec,118.5
14-Jan,118.7
14-Feb,119.5
14-Mar,120.3
14-Apr,120.7
14-May,121.2
14-Jun,121.4
14-Jul,121.2
14-Aug,121.2
14-Sep,121.2
14-Oct,120.6
14-Nov,120.5
14-Dec,119.6
15-Jan,119.7
15-Feb,120.6
15-Mar,121.5
15-Apr,121.3
15-May,122.4
15-Jun,122.4
15-Jul,122.5
15-Aug,122.7
15-Sep,122.7
15-Oct,122.4
15-Nov,122.7
15-Dec,122.4
16-Jan,122.7
16-Feb,122.8
16-Mar,124
16-Apr,124
16-May,124.9
16-Jun,125.3
16-Jul,125.7
16-Aug,125.6
16-Sep,125.4
16-Oct,125.4
16-Nov,124.6
16-Dec,124.7
17-Jan,125.3
17-Feb,125.5
17-Mar,126.1
17-Apr,126.3
17-May,127.1
17-Jun,127.5
17-Jul,128.1
17-Aug,128.6
17-Sep,128.3
17-Oct,128.4
17-Nov,128.4
17-Dec,127.8
18-Jan,128.7
18-Feb,129.6
18-Mar,130.1
18-Apr,130.1
18-May,130.1
18-Jun,130.1