date,gdp_millions_2007
3-Jan,1305716
3-Feb,1309824
3-Mar,1309047
3-Apr,1305168
3-May,1309303
3-Jun,1313359
3-Jul,1320233
3-Aug,1307536
3-Sep,1323469
3-Oct,1328995
3-Nov,1330111
3-Dec,1335359
4-Jan,1337298
4-Feb,1336043
4-Mar,1347570
4-Apr,1350657
4-May,1351641
4-Jun,1357942
4-Jul,1358923
4-Aug,1364427
4-Sep,1368034
4-Oct,1368264
4-Nov,1373222
4-Dec,1373363
5-Jan,1379898
5-Feb,1380798
5-Mar,1376082
5-Apr,1386230
5-May,1392103
5-Jun,1396219
5-Jul,1399741
5-Aug,1404946
5-Sep,1406019
5-Oct,1410632
5-Nov,1418234
5-Dec,1425602
6-Jan,1428939
6-Feb,1432068
6-Mar,1435288
6-Apr,1435551
6-May,1436170
6-Jun,1433878
6-Jul,1436636
6-Aug,1437884
6-Sep,1436088
6-Oct,1438716
6-Nov,1442300
6-Dec,1451875
7-Jan,1449341
7-Feb,1457001
7-Mar,1460519
7-Apr,1462779
7-May,1469465
7-Jun,1473822
7-Jul,1473666
7-Aug,1478023
7-Sep,1475478
7-Oct,1476788
7-Nov,1478016
7-Dec,1472214
8-Jan,1478123
8-Feb,1475381
8-Mar,1477978
8-Apr,1481017
8-May,1480903
8-Jun,1483770
8-Jul,1490168
8-Aug,1488927
8-Sep,1489185
8-Oct,1487497
8-Nov,1472425
8-Dec,1452142
9-Jan,1445067
9-Feb,1437610
9-Mar,1425999
9-Apr,1421424
9-May,1419987
9-Jun,1421697
9-Jul,1424052
9-Aug,1423485
9-Sep,1434215
9-Oct,1435754
9-Nov,1444181
9-Dec,1448381
10-Jan,1457333
10-Feb,1464962
10-Mar,1472045
10-Apr,1470254
10-May,1476702
10-Jun,1480516
10-Jul,1482548
10-Aug,1486948
10-Sep,1486717
10-Oct,1494280
10-Nov,1501202
10-Dec,1511501
11-Jan,1516266
11-Feb,1513490
11-Mar,1518171
11-Apr,1518440
11-May,1515243
11-Jun,1522085
11-Jul,1532771
11-Aug,1540798
11-Sep,1545438
11-Oct,1545637
11-Nov,1547681
11-Dec,1555476
12-Jan,1555791
12-Feb,1551166
12-Mar,1554591
12-Apr,1558730
12-May,1559249
12-Jun,1560691
12-Jul,1564405
12-Aug,1561414
12-Sep,1561647
12-Oct,1560387
12-Nov,1566721
12-Dec,1567032
13-Jan,1575151
13-Feb,1579164
13-Mar,1585785
13-Apr,1589263
13-May,1594991
13-Jun,1589451
13-Jul,1599231
13-Aug,1605713
13-Sep,1612341
13-Oct,1620987
13-Nov,1624684
13-Dec,1618139
14-Jan,1618531
14-Feb,1626607
14-Mar,1629725
14-Apr,1636490
14-May,1645636
14-Jun,1650739
14-Jul,1651357
14-Aug,1646852
14-Sep,1654856
14-Oct,1662017
14-Nov,1660177
14-Dec,1663661
15-Jan,1657548
15-Feb,1656431
15-Mar,1656248
15-Apr,1654427
15-May,1652994
15-Jun,1659129
15-Jul,1665370
15-Aug,1669530
15-Sep,1663051
15-Oct,1664220
15-Nov,1669162
15-Dec,1670238
16-Jan,1679263
16-Feb,1677434
16-Mar,1674815
16-Apr,1675382
16-May,1664661
16-Jun,1674609
16-Jul,1684543
16-Aug,1687464
16-Sep,1694458
16-Oct,1693523
16-Nov,1699884
16-Dec,1704832
17-Jan,1713666
17-Feb,1716426
17-Mar,1722927
17-Apr,1728989
17-May,1739657
17-Jun,1745546
17-Jul,1747246
17-Aug,1745939
17-Sep,1750518
17-Oct,1750975
17-Nov,1758777
17-Dec,1762455
18-Jan,1760310
18-Feb,1760310
18-Mar,1760310
18-Apr,1760310
18-May,1760310
18-Jun,1760310