"Table 379-0031 Gross domestic product (GDP) at basic prices, by North American Industry Classification System (NAICS), monthly (dollars x 1,000,000)(1,3)",
Survey or program details:,
Gross Domestic Product by Industry - National (Monthly) - 1301,
Geography,Canada
Seasonal adjustment,Seasonally adjusted at annual rates
Prices,Chained (2007) dollars
North American Industry Classification System (NAICS),All industries (2) [T001] 
Jan-03,1305716
Feb-03,1309824
Mar-03,1309047
Apr-03,1305168
May-03,1309303
Jun-03,1313359
Jul-03,1320233
Aug-03,1307536
Sep-03,1323469
Oct-03,1328995
Nov-03,1330111
Dec-03,1335359
Jan-04,1337298
Feb-04,1336043
Mar-04,1347570
Apr-04,1350657
May-04,1351641
Jun-04,1357942
Jul-04,1358923
Aug-04,1364427
Sep-04,1368034
Oct-04,1368264
Nov-04,1373222
Dec-04,1373363
Jan-05,1379898
Feb-05,1380798
Mar-05,1376082
Apr-05,1386230
May-05,1392103
Jun-05,1396219
Jul-05,1399741
Aug-05,1404946
Sep-05,1406019
Oct-05,1410632
Nov-05,1418234
Dec-05,1425602
Jan-06,1428939
Feb-06,1432068
Mar-06,1435288
Apr-06,1435551
May-06,1436170
Jun-06,1433878
Jul-06,1436636
Aug-06,1437884
Sep-06,1436088
Oct-06,1438716
Nov-06,1442300
Dec-06,1451875
Jan-07,1449341
Feb-07,1457001
Mar-07,1460519
Apr-07,1462779
May-07,1469465
Jun-07,1473822
Jul-07,1473666
Aug-07,1478023
Sep-07,1475478
Oct-07,1476788
Nov-07,1478016
Dec-07,1472214
Jan-08,1478123
Feb-08,1475381
Mar-08,1477978
Apr-08,1481017
May-08,1480903
Jun-08,1483770
Jul-08,1490168
Aug-08,1488927
Sep-08,1489185
Oct-08,1487497
Nov-08,1472425
Dec-08,1452142
Jan-09,1445067
Feb-09,1437610
Mar-09,1425999
Apr-09,1421424
May-09,1419987
Jun-09,1421697
Jul-09,1424052
Aug-09,1423485
Sep-09,1434215
Oct-09,1435754
Nov-09,1444181
Dec-09,1448381
Jan-10,1457333
Feb-10,1464962
Mar-10,1472045
Apr-10,1470254
May-10,1476702
Jun-10,1480516
Jul-10,1482548
Aug-10,1486948
Sep-10,1486717
Oct-10,1494280
Nov-10,1501202
Dec-10,1511501
Jan-11,1516266
Feb-11,1513490
Mar-11,1518171
Apr-11,1518440
May-11,1515243
Jun-11,1522085
Jul-11,1532771
Aug-11,1540798
Sep-11,1545438
Oct-11,1545637
Nov-11,1547681
Dec-11,1555476
Jan-12,1555791
Feb-12,1551166
Mar-12,1554591
Apr-12,1558730
May-12,1559249
Jun-12,1560691
Jul-12,1564405
Aug-12,1561414
Sep-12,1561647
Oct-12,1560387
Nov-12,1566721
Dec-12,1567032
Jan-13,1575151
Feb-13,1579164
Mar-13,1585785
Apr-13,1589263
May-13,1594991
Jun-13,1589451
Jul-13,1599231
Aug-13,1605713
Sep-13,1612341
Oct-13,1620987
Nov-13,1624684
Dec-13,1618139
Jan-14,1618531
Feb-14,1626607
Mar-14,1629725
Apr-14,1636490
May-14,1645636
Jun-14,1650739
Jul-14,1651357
Aug-14,1646852
Sep-14,1654856
Oct-14,1662017
Nov-14,1660177
Dec-14,1663661
Jan-15,1657548
Feb-15,1656431
Mar-15,1656248
Apr-15,1654427
May-15,1652994
Jun-15,1659129
Jul-15,1665370
Aug-15,1669530
Sep-15,1663051
Oct-15,1664220
Nov-15,1669162
Dec-15,1670238
Jan-16,1679263
Feb-16,1677434
Mar-16,1674815
Apr-16,1675382
May-16,1664661
Jun-16,1674609
Jul-16,1684543
Aug-16,1687464
Sep-16,1694458
Oct-16,1693523
Nov-16,1699884
Dec-16,1704832
Jan-17,1713666
Feb-17,1716426
Mar-17,1722927
Apr-17,1728989
May-17,1739657
Jun-17,1745546
Jul-17,1747246
Aug-17,1745939
Sep-17,1750518
Oct-17,1750975
Nov-17,1758777
Dec-17,1762455
Jan-18,1760310
Footnotes:,
1,Aggregates are not always equal to the sum of their components.
2,"The alphanumeric code appearing in square brackets beside the industry title represents the identification code of an aggregation of NAICS industries, whose definition is included in the full classification provided in the definitions, data sources and methods for the statistical program 1301 - Gross domestic product by Industry - National (Monthly)."
3,"At the lowest level of detail, it may not be possible to produce a homogeneous series from 1997 to the present. Only industries and certain aggregates that provide good continuity back to 1997 have data from 1997 to 2006."
Source:,
"Statistics Canada. Table 379-0031 - Gross domestic product (GDP) at basic prices, by North American Industry Classification System (NAICS), monthly (dollars)",
"(accessed: April 25, 2018)",